IsExit,ExitReason,IsTDP,LiabilityCode,TotalHours,CourseMode,HighEdu,CoB,CALD,FacultyCode,DeptCode
0,NULL,0,AM,64,Standard,ADE,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,0R,356,Standard,420,Indonesia,Y,BIA,AFS
0,NULL,0,JU,20,Standard,514,Australia,N,BGD,PRI
0,NULL,0,FS,40,Standard,521,Australia,N,EDL,SIT
0,NULL,1,R,210,Standard,120,China (excludes SARs and Taiwan),Y,SIT,WOD
0,NULL,1,R,145,Standard,8,China (excludes SARs and Taiwan),Y,SHS,HCS
0,NULL,1,R,276.7115837,Standard,8,China (excludes SARs and Taiwan),Y,SHS,HCS
0,NULL,1,FN,4,Standard,420,Australia,N,SIT,REF
0,NULL,1,LT,690,Standard,511,Australia,N,SHS,SAS
0,NULL,1,R,640,Standard,521,Australia,N,SHS,SAS
0,NULL,1,R,988,Standard,990,Australia,N,SHS,COM
0,NULL,1,L,264,Standard,521,Australia,N,SIT,ELT
0,NULL,0,IP,140,Offshore/Study Abroad,BDI,China (excludes SARs and Taiwan),Y,CND,ETS
0,NULL,0,IP,138.8665835,Offshore/Study Abroad,BDI,China (excludes SARs and Taiwan),Y,CND,ETS
0,NULL,1,PR,454,Standard,511,Australia,N,SIT,ELT
0,NULL,1,DL,223.0816327,Standard,420,Australia,N,HED,BEC
1,,0,R,140,Standard,420,India,Y,CND,ETS
0,NULL,1,R,910,Standard,521,Australia,N,SHS,SAS
1,Z5,0,FS,8,Standard,514,Australia,N,SIT,ELT
0,NULL,1,L,324,Standard,524,Australia,N,SIT,ELT
0,NULL,0,FS,15,Electronic/Online,8,Australia,N,BIA,INF
0,NULL,1,R,460,Standard,8,Australia,N,SHS,COM
0,NULL,1,LT,192,Standard,514,Australia,N,BIA,AFS
0,NULL,1,LT,147.4137931,Standard,514,Australia,N,BIA,AFS
0,NULL,0,OS,70,Offshore/Study Abroad,BDI,China (excludes SARs and Taiwan),Y,AAS,TLC
0,NULL,1,RO,354.2857143,Standard,514,Australia,N,SHS,SAS
0,NULL,1,RO,73.18860244,Standard,514,Australia,N,SHS,SAS
1,,0,FS,15,Electronic/Online,8,Australia,N,BIA,INF
0,NULL,1,R,410,Standard,8,Australia,N,SHS,SAS
0,NULL,0,FS,15,Electronic/Online,8,Not entered,Y,BIA,INF
0,NULL,0,FI,50,Standard,8,Australia,N,CND,ETS
1,W1,0,JU,10,Standard,514,Australia,N,BGD,PRI
1,W1,0,JU,5,Standard,514,Australia,N,BGD,PRI
1,W1,0,JU,40,Standard,514,Australia,N,BGD,PRI
0,NULL,1,L,404,Standard,8,China (excludes SARs and Taiwan),Y,SIT,ELT
0,NULL,1,R,760,Standard,C4E,Iran,Y,SHS,SAS
0,NULL,0,AM,29,Standard,BDI,Iran,Y,CND,AMP
0,NULL,1,R,760,Standard,C3E,Australia,N,SHS,SAS
0,NULL,0,FS,30.97435897,Standard,8,Australia,N,EDL,SIT
1,W1,0,JU,5.5,Standard,514,Australia,N,BGD,PRI
0,NULL,0,AM,269,Standard,BDI,Ukraine,Y,CND,AMP
0,NULL,1,L,364,Standard,990,Australia,N,SIT,ELT
1,M1,1,R,15,Electronic/Online,120,India,Y,BIA,INF
0,NULL,1,RO,292.71525,Standard,514,Australia,N,SHS,SAS
0,NULL,1,R,625,Standard,420,Taiwan,Y,BIA,MGT
0,NULL,1,L,444,Standard,514,Australia,N,SIT,REF
0,NULL,1,L,6.431718062,Standard,514,Australia,N,SIT,REF
0,NULL,1,L,144,Standard,8,China (excludes SARs and Taiwan),Y,SIT,PLM
0,NULL,1,R,800,Standard,420,Australia,N,SCL,VCE
0,NULL,0,R,521.3642037,Standard,514,Australia,N,CND,ETS
0,NULL,1,0R,110,Standard,990,Australia,N,BIA,AFS
0,NULL,1,DU,156,Standard,C4I,Nepal,Y,HED,ICH
